fluidify	积满液体
gallimaufry	杂凑
polysaccharide	聚糖
prophet	预言者
rimless	无边的
nihilist	虚无主义者
deliquescence	溶解
trustless	不可靠的
slavery	束缚
transdisciplinary	跨学科的
curare	箭毒
banditti	匪徒
reradiate	再辐射
malimprinted	缺损印记的
trumpeter	喇叭手
potentiostatic	在稳压器控制下
rebel	反抗者
dilatorily	迟缓
linhay	外屋
waspish	易怒
console	安慰
ancon	肘托
epicurean	贪口福的
transgress	侵犯
blastomycetes	芽孢纲
commodity	日用品
folksay	俗话
recognizably	可被认识
agroindustry	农用工业
rectifiable	可纠正的
remanent	剩余的
milquetoast	胆小者
neapolitan	那不勒斯人的
mechlin	梅希林花边
stupid	乏味的
shamanize	信奉萨满教
obbligato	不可缺少
unambiguous	不含糊
leasehold	租赁物
floorboards	将汽车油门踏到底
avowable	可明言的
summarily	概要
gyropilot	自动操纵装置
apogean	远地点
singer	歌手
make	构造
annalistic	编年史的
smooth	无毛
altimetry	测高学
submundane	下
fist	握成拳
thrump	隆隆声
phototropy	光
phylogenic	系统发生的
blinking	一眨眼的
disparaging	轻视
treasonable	背叛
mx	Mexico
series	级数
qanat	坎儿井
milord	大人
energize	使活跃
wayzgoose	同欢
delible	可抹掉
incitement	刺激
dartboard	掷镖的圆靶
submuscular	肌肉下
frier	做油炸食品的人
hyaloid	透明的
dysuria	排尿困难
scot	苏格兰方言
sex	生殖器
restrictive	限制性
able	能干
asclepiadaceous	萝摩科的
cairn	石冢
connivance	假装不见
palpably	可触知
overdoor	装在门上方
traffic	运输
nondirective	非指示性
fos	free
donga	沟壑
krakatau	喀拉喀托火山
regardant	注视
syzygy	会合
variably	不定地
hoodlum	流氓
drift	漂流物
variational	变化
shone	shine的过去及过去分词
buddhistical	佛教
wheelman	舵手
perspicuously	显明地
scrofulous	堕落
cantabrigian	模仿英国
saturated	饱和
chime	打钟报时
hypaethral	无屋顶的
japanese	日本人
forecast	预想
resurrective	促成复活
scca	Car
tinny	似锡的
choreographist	舞蹈指挥
thermalize	热能化
smoke	烟幕
unequalable	敌不过
eutectoid	类低共熔体
specify	详细说明
herbartian	体系
lighthouseman	灯塔守望人
dishful	一碟量
conquian	=cooncan
lipographic	字母或词之脱漏
humorous	诙谐的
paleolith	旧石器
degression	渐减
prerecord	事先录音
proletarian	无产者
nonantagonistic	非对抗性
leno	纱罗织法
politically	政治上
meshy	象网
faultiness	可指责
darkle	呈显黑色
nightmarish	不愉快
dysthymia	心情恶劣
ascertainment	发现
mangosteen	倒捻子
grammatical	文法
whimper	哀诉
son	女婿
feodal	领地的
rubbly	碎石构成的
inextricably	逃不掉
chemitype	化学制版
heterograft	异种移植
exterior	外在
triturate	弄成粉
flambe	在火上烧过的食物
jeux	jeu的复数
shareable	可分享
africanist	非洲民族主义者
accentuation	重读
upcropping	出现
expressive	表达……
demosthenes	古代希腊的雄辩家
recoat	再涂在上面
datolite	硅灰硼石
accumbent	横卧的
gelid	极冷的
saccharimeter	糖量计
metascope	红外线显示器
fibular	腓骨
scythia	锡西厄
toner	硒鼓
headstrong	顽固
shari	莎丽
bargirl	酒吧女招待
vintage	收葡萄
sweatiness	汗流夹背
castrate	将去势
stellular	小星形的
bullshot	一种鸡尾酒
miniminded	愚蠢的
protuberance	隆起
wraac	Australian
winning	胜
spicily	下流
semitruck	=semitrailer
succory	菊苣
catchword	流行语
anharmonic	不和谐
urceolate	缸状
teetertotter	跷跷板
velamina	根被
ka	灵魂
launcher	发射台
pert	别致
calceolaria	蒲包草属
distichously	二列
shelter	保护
orthorhombic	正交的
stunsail	翼横帆
nutty	多坚果的
ichthyologic	鱼类学
denudate	赤裸
pmla	Publications
teleology	有目的
enquirer	寻问者
first	第一冠军
redescend	重新下来
troche	片剂
thessalonian	帖撒罗尼迦人
protrusive	推出
fugacity	无常
bland	冷漠
seeder	去核器
organism	有机体
stannous	含二价锡
penchant	趣味
intraswitch	交机内
inventress	女发明家
saxonism	源自盎格鲁撒克逊语
bedeswoman	救济院受施之女人
neighbouring	附近的
catenary	悬链线
mafic	铁镁质的
hairsbreadth	窄如发丝的
massotherapy	推拿疗法
chasseur	侍者
handlers	经理人
underpeopled	=underpopulated
necrotic	坏死
math	数学
bookcraft	著书工作
verbicidal	滥用词语的
piquant	开胃
facs	Fellow
cig	香烟
apostate	背教者
worsted	精纺
lawsuit	诉讼
synovial	含有滑液的
sialagogue	Ⅰ
sequitur	推断
caterwauling	叫春似
demilune	新月型之事物
darkling	黑暗
belletristic	文学研究
privately	秘密地
rubigo	铁丹
quercitol	环己五醇
abbreviative	缩略的
norge	=Norway
congenitally	天生
arrantly	众目昭彰
doorhead	门框上的横木
downer	镇定剂
cryptographical	密码地
slaver	垂涎
introduction	初步
extemporaneous	临时
corrective	矫正
rubbingstone	磨石
mmf	magnetomotive
wintertime	冬季
pshaw	哼声
candlewick	烛芯
unnumbered	数不清
bigeneric	属间杂交的
interpellant	质询者
darby	手铐
furphy	无稽之谈
tollgatherer	收税员
ritualize	奉行仪式主义
mirky	阴郁
pstn	switched
squamose	有鳞片
compute	用计算机计算
burnisher	研磨器
murmur	低声说
xanthous	黄色人种的
actinotherapy	射线疗法
transversion	转换
fagoting	抽纱法
damned	使人憎厌
rheumatic	风湿
customable	可课税的
clothes	被褥
conchoidal	贝壳状的
electrobiology	生物电学
fearfully	极
anticorrosive	防蚀的
bureaucratism	官僚作风
underneath	在下面
unwit	使精神错乱
unestablished	尚无成就
chafer	金龟子
slam	猛击
ezechiel	即Ezekiel
incorporable	可结合的
multiplepoinding	互相诉讼
for	适合于
terebinthinate	松脂的
fiery	炽热的
imaginative	想象的
victimless	无受害人
maluation	评价
pseudology	说谎
acinar	腺泡的
fascicle	簇
avion	军用飞机
chromatism	色差
thereto	另外
mammals	哺乳动物
whistleable	适合于用口哨吹的
urceolate	壶状的
deave	使听不见
scholastic	墨守成规者
endeavor	努力
puffery	吹捧的广告
fenderless	无防撞物
cherubim	小天使
skeptical	无神论
stager	演员
lamby	多毛如羊的
sukkur	苏库尔
maladaptive	不利于适应
malamute	爱斯基摩狗
comparatist	比较文学学者
campanology	铸钟术
eclectic	折衷的
helpfully	有用地
castellany	城主之阶级
aluminothermy	铝冶术
through	以
gbs	Bernard
autosomal	常染色体的
discover	发现
scholarly	学者气质
answer	答案
tristimulus	三刺激的
monophyllous	单叶的
lambkill	狭叶山月桂
photoheliograph	照相仪
interleaf	插入的空白纸
north	向北方
thermostable	热稳定
ranine	蛙科动物
monoblastic	单核细胞性
ambidexter	十分灵光的
antivenom	抗蛇毒素
devilish	如恶魔般
constabulary	警官的
since	后来
scum	将浮渣去除掉
whisk	飞奔
broadsheet	仅印一面的大幅纸张
worthful	可贵
sopapilla	油炸蜜糕
ganof	小偷
mucolytic	黏液溶解
rvsvp	请速答覆
talking	谈论
patter	念经
tuitional	讲授的
sapraemia	败血病
yow	惊讶时所发出的叫声
agential	代理商
wakeless	未受打扰
hello	哈罗
inspectress	女监督
snafu	大混乱的
tainture	污染
afloat	在海上的
awry	错误的
karass	情投意洽的一帮人
bam	欺骗
olla	什锦菜
unmeaning	无表情
hoarding	贮藏
libeler	污蔑者
nightshade	茄属植物
gentle	文雅
traffic	通行
neurology	神经学
contrail	飞行云
miniminded	没有头脑的
galwegian	加罗韦
glycolysis	醣酵解
haymaker	强击
highjacking	劫持
kmt	Tang
hernial	疝的
ajc	Club
gliding	滑顺的
cuss	咒骂
iodic	碘
emanate	放射
swag	水潭
deceleron	减速列翼
putrefiable	会腐烂的
proteid	蛋白质
familiarization	亲密
semiuncial	半恩锡尔字体的字母
telemedicine	远距离医学
tenuity	薄
whopping	巨大的
antelucan	黎明前的
freaky	畸形
bogey	可怕的人
mantissa	尾数
gameless	无猎物的
corresponding	通讯
perhydrol	强双氧水
assorted	多样混合的
matron	护土长
present	上演
dun	微暗的
lycurgus	莱克格斯
constant	不变
stroke	报时的钟声
brassart	铁护手
prevoyance	深谋远虑
smileless	严肃的
pyrometallurgy	热冶术
puddinghead	傻瓜
preclusive	除外的
iambi	短长格
clamour	叫喊
compare	比较
burglarproof	避盗的
etymon	字根
pestiferous	传播疾病
relier	信赖者
splendor	杰出
precolonial	沦为殖民地前的
sessile	无柄
milt	受精
desiccative	干燥剂
pop	爆开
altitude	高等
valiant	勇敢的
foppishly	艳冶地
sophisticate	诡辩
monochromical	单色
pseudoclassic	拟古
nongovernmental	非政治
earned	挣
sure	可靠
swami	偶像
impartial	公平
semisubterranean	半地下
causable	可致使发生
scummy	下流
gearless	无传动装置的
alliterative	头韵的
combust	燃烧
examinatorial	检查
place	寄予
frenzied	激怒
sociocentric	社会中心论的
moderatism	稳健主义
attention	注意
episodic	插话式
legacy	遗赠
prescient	预知
bemused	发呆的
accumbent	横卧
slob	粗俗汉
samp	玉米片
sulfur	硫磺
host	旅馆招待
brisk	活跃起来
denticulate	齿状的
leisure	悠闲
bulb	鳞茎
quilt	编辑
unveracious	假
reassert	重复主张
atomy	原子
dazzling	耀眼
ferreous	含铁的
druidic	督伊德教徒的
andorran	安道尔人
book	帐簿
velour	天鹅绒
botulinus	肉毒菌
dirtily	卑陋
ultradian	次昼夜
spencerian	斯宾塞哲学体系的
cherrywood	樱桃木
hospitaler	住院者
eximious	优良
stream	一股
bushy	灌木茂密的
aeriferous	送气
dogleg	弯曲如狗后腿
rigescent	僵化的
lemonlike	似柠檬
drainless	无排水设备
angulated	使成角
cobbly	畸岖的
alamode	上面加冰淇淋
idiorrhythmism	住在独自独自修行的僧侣寺院
violet	紫罗兰
twopence	两便士
fellow	同道的
oxacillin	新青二
living	生计
convict	罪犯
serpentine	蜿蜒
aimlessly	没目标
modena	深紫色
donor	原料物质
depletory	使空虚
culm	茎
idioglottic	自我语法
milligal	毫伽
lacerative	割碎
ingenuous	坦白
hardy	坚硬地
friendliness	亲切
tsarina	沙皇皇后
racketeer	敲诈者
wastebasket	把……放入废纸篓
span	跨距
acerous	无角
echinoid	海胆状
ryukyuan	琉球民族
atrium	心房
foxiness	有褐斑
disarmament	裁军
libratory	游移的
amimeche	Engineers
roily	焦急
jhvh	耶和华
benelux	全称
hubbub	吵闹声
fugleman	示范的人
capillary	毛细作用
floppily	叭塌叭塌响
flinty	冷酷
brayton	engine
translucent	半透明的
girth	周长
aftercrop	第二次的收获
pusillanimity	无气力
personal	容貌
hydrothoracic	水胸的
foliage	树叶
ungifted	无才华
meteor	大气现象
record	诉状
exploitative	开发资源
apoise	准备好
subadar	=subahdar
epicurean	美食家
adzuki	赤豆
joust	马上枪术比赛
vacuation	撤空
hyperbolize	对……大肆夸张
remoteness	遥远
algal	海藻的
elocutionary	演说法的
subseptate	具有不完全隔膜
creamware	奶油色陶器
limitless	无界限
metamorphism	变态
crytic	隐含的
enhalo	使生光彩
franchise	赋予公民权
aubrietia	南庭霁
sel	pro
compere	当……的主持人
goth	野蛮人
exaggerative	夸张的
rediscount	再打折扣
cement	粘牢
globality	全球性
biolysis	生物分解
edge	优势
royale	蛋糕饰块
brass	黄铜
blithering	唠叨不已的
worship	敬神
send	派遣
craftsman	工匠
druidess	女巫师
dps	per
undemanding	不严格
dichroscope	二色镜
bilocular	双房的
weather	受侵蚀
guesswork	臆测
flurry	慌张
coactivated	共激活的
mph	时速
vocationally	职业性地
moorish	摩尔人式
vapor	蒸发
nitride	氮化物
adjure	起誓
muscularity	强壮
fingerlike	指状的
antimagnetic	防磁的
skiagraphy	X
suggestible	耳根软
maynard	梅纳德
excuse	做为……的托辞
vinegrowing	葡萄栽培
cheering	欢呼
upperworks	干舷
frication	摩擦
eclectic	折衷学派的
unwooded	不长树木
idiocratically	特性
hugeness	广大
tradable	可贸易的
knowledgeable	知识渊博的
ribby	多罗纹
tgwu	Transport
hypopharyngoscope	崖咽视镜
stratigraphic	地层学的
pipeless	无管
stopgap	补缺者
claptrap	讨好的
wattle	枝条编成的篱笆
laxness	腹泻
noddie	傻瓜
scopy	能力的
cornucopian	丰富
educatory	教育上的
twiggy	小枝繁茂的
theft	偷窃的事例
millipede	倍足纲节动物
ensigncy	少尉官职
acting	起作用
hamitic	哈姆族的
wirepuller	幕后之操纵者
aries	白羊座
polygamous	一妻多夫的
voiturette	小型汽车
misspoken	misspeak的过去分词
sped	speed的过去式及过去分词
kogai	环境污染
deflorate	已开过花的
skillful	制作精巧的
cymagraph	反曲线轮廓勾划器
priapitis	阴茎炎
mingy	吝啬
sitten	sit的过去分词
grammatology	写作学
drossy	浮渣一样的
annunciate	告示
photocatalysis	光催化
hypomanic	轻度躁狂的
nonaddicting	不致瘾的
khedive	埃及总督
rightfully	正直
soviet	苏维埃的
dinkum	公平
motorship	内燃机船
prevenient	以前的
sockeroo	非常卓越的东西
nondurable	不耐用的
twiggy	小枝繁茂
jarful	一瓶之容量
bead	珠子
pinteresque	品特派风格
vociferously	吵闹地
separate	隔离
gain	增进
stupefactive	使失去知觉
floorer	难以置信的论据
veronica	通过Gopher使用的一种自动搜索服务
locution	独特的措辞
teetotalism	绝对禁酒
rennet	法国产的一种苹果
ticky	=tickey
motivator	促进因素
ctrl	计算机的Ctrl按键
gluttonous	暴食
seclusive	隐退性
resonantly	共鸣
trepanner	环截式采煤机
houseless	无房屋
unconquered	未克服
loris	懒猴属动物
elect	作出选择
diligently	勤勉
unitar	Institute
pittypat	轻快之劈啪声
achaean	亚该亚的
overtime	加班地
amnionic	有羊膜的
undersea	海面下
cog	欺骗
below	在页底
paling	围篱
censoriously	好批评
relieve	援救
galliambic	由两个抑扬格音步组成的
incalculably	无数地
drone	嗡嗡的声音
elementoid	元素状
answer	回答
distasteful	味道不佳的
trappean	暗色岩质的
tamber	音品
premaxillary	颌骨前
unlikeliness	不一样
pollution	污染
keerect	完全对头
ermentrude	厄门特鲁德
nascar	Stock
gothicist	遵奉哥特风格者
suppurative	化脓
intervalometer	定时曝光控制计
babylonish	巴比伦的
nlrb	Labor
wildebeest	羚羊的一种
pushball	推球
depravity	堕落
understate	保守地说
unsophistication	质朴
also	也
woadwaxen	greenweed
snazzy	时髦的
emancipatory	解放的
animative	使有生气
ostracism	贝壳放逐法
resumable	可恢复
shield	盾状物
fricassee	做炖肉丁
wight	人
phe	Health
degeneracy	退步
conceivably	令人信服
pecuniary	金钱上
geriatrist	老年病学者
ducky	极好
terminal	终端
photoproduct	光化产品
underwriting	保险业
inflexible	不屈挠的
hairpiece	假发
uplift	社会进步
bubonic	腹股沟腺炎
electrohydraulics	水中放电法
aldohexose	己醛醣
masticable	可咀嚼的
villain	恶根
rishi	富有灵感的诗人
metatherian	后哺乳下纲的
nomenclatorial	名称
parcelgilt	内表面镀金
unbe	使不复是
unifacial	单面精细加工的
energize	用力
superheater	过热设备
plutocrat	财阀
suggestibility	可教唆
castellar	似城堡的
conventionality	惯例
overwrite	推销佣金
dioestrous	间情期的
oracular	神谕
thievish	象窃贼的
monarchic	国王
functionalism	机能心理学
operation	手术
precess	使产生进动
upmost	最上
deadweight	自重
eely	易滑脱
gallnut	五倍子
kain	实物租税
tournament	比赛
allopatric	单独地发生的
mongrel	杂种
overemphasized	过份强调的
uproariously	吵闹地
flysheet	传单
elevated	严肃
cloak	斗蓬
demosthenes	德摩斯梯尼
reliquidate	再清算
corolline	花冠
sporadic	零星
hempen	大麻制
hearted	有……之心
molder	腐朽
hieroglyph	象形文字
plunderage	抢夺
effable	能被说出的
irreconcilable	不能协调
intraoperative	外科手术进行时发生的
ho	symb
acerb	酸涩的
triplane	三翼飞机
nonfiction	非小说的散文文学
trinal	三倍
mere	起码
indian	印度的
utilitarian	实利
plug	插销
recollected	镇定的
tough	耐
building	营造物
anzac	澳新军团士兵
eriophyllous	叶上有绒毛的
gnarl	使有节
klunky	破旧的
anagoge	对基督教等所作的神秘解释
misbegot	可鄙的
hydremic	稀血症
befitting	合适
ambisinister	两手均不灵活的
morphic	=morphological
midwifery	助产术
catastrophe	大祸
